CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
Papyrus,Papyrus,,
Par Web Solutions,Par Web Solutions,,
Parachute Consulting,Parachute Consulting,,
Paradigm,Paradigm,,
Parkinson's Disease Society,Parkinson's Disease Society,,
Parliament,,,1
Parliament - House of Commons,The Stationery Office,House of Commons,
Parliament - House of Commons Health Committee,,House of Commons Health Committee,
Parliament - House of Commons Library,House of Commons Library,,
Parliament - House of Commons Public Administration Select Committee,The Stationery Office,House of Commons Public Administration Select Committee,
Parliament - House of Lords,,,1
Parliamentary and Health Service Ombudsman,Parliamentary and Health Service Ombudsman,,
Parliamentary Office of Science and Technology,Parliamentary Office of Science and Technology,,
Parthenon,Parthenon,,
Participation Works,Participation Works,,
Partners Healthcare System,Partners Healthcare System,,
Partners in Advocacy,Partners in Advocacy,,
Partners in Salford,Partners in Salford,,
Partnership for Research in CFS and ME (PRIME),Partnership for Research in CFS and ME (PRIME),,
Partnership on Long-Term Conditions,Partnership on Long-Term Conditions,,
Partnerships Online,Partnerships Online,,
Pathobiology,Karger,Pathobiology,
Patient and Public Involvement Programme (PPIP),Patient and Public Involvement Programme (PPIP),,
Patient Care Management,Patient Care Management,,
Patient Education and Counseling,Elsevier,Patient Education and Counseling,
Patient Education Institute,Patient Education Institute,,
Patient Information Forum,Patient Information Forum,,
Patient Opinion,Patient Opinion,,
Patient Safety First,Patient Safety First,,
Patent Safety in Surgery,BioMed Central,Patient Safety in Surgery,
Patient UK,Patient UK,,
Patients Association,Patients Association,,
Pavilion,Pavilion,,
Pediatric Dentistry,American Academy of Pediatric Dentistry,Pediatric Dentistry,
Pediatric Infectious Diseases Journal,Lippincott Williams and Wilkins,Pediatric Infectious Disease Journal,
Pediatric Nephrology ,Springer,Pediatric Nephrology ,
Pediatric Pulmonology,Wiley-Blackwell,Pediatric Pulmonology,
Pediatric Radiology,Springer,Pediatric Radiology,
Pediatric Rehabilitation,Taylor and Francis Group,Pediatric Rehabilitation,
Pediatric Rheumatology,BioMed Central,Pediatric Rheumatology,
Pediatrics,American Academy of Pediatrics ,Pediatrics,
Pediatrics International,Wiley-Blackwell,Pediatrics International,
Pelvic Pain Support Network,Pelvic Pain Support Network,,
Pem-Database.org,Pem-Database.org,,
"Peninsula Medical School, Universities of Exeter and Plymouth","Peninsula Medical School, Universities of Exeter and Plymouth",,
Pennine Care NHS Trust,Pennine Care NHS Trust,,
Pennysylvania Patient Safety Authority,Pennysylvania Patient Safety Authority,,
People First,People First,,
People First Lambeth,People First Lambeth,,
Perfusion,Perfusion,,
Pergamon Press,Pergamon Press,,
Periodontology 2000,Periodontology 2000,,
Perioperative Care Collaborative,Perioperative Care Collaborative,,
Peritoneal Dialysis International,Multimed Inc,Peritoneal Dialysis International,
Personal Social Services Research Unit,Personal Social Services Research Unit,,
Perspectives in Health Information Management,American Health Information Management Association,Perspectives in Health Information Management,
Peterborough Primary Care Trust,Peterborough Primary Care Trust,,
The Pharmaceutical Journal,RPS Publishing,Pharmaceutical Journal,
Pharmaceutical Press,Pharmaceutical Press,,
Pharmaceutical Services Negotiating Committee (PSNC),Pharmaceutical Services Negotiating Committee (PSNC),,
Pharmacogenomics Journal,Nature Publishing Group,Pharmacogenomics Journal,
The Pharmacogenomics Journal,Nature Publishing Group,Pharmacogenomics Journal,
Pharmacological Research,Elsevier,Pharmacological Research,
Pharmacopsychiatry,Thieme ,Pharmacopsychiatry,
Pharmacy Health Link,Pharmacy Health Link,,
Pharmacy Practice Research Trust,Pharmacy Practice Research Trust,,
Pharmacy World and Science,Springer,Pharmacy World and Science,
Pharmaeconomics,Adis International,PharmacoEconomics,
PharmaTimes,,PharmaTimes,1
Pharmoepidemiology and Drug Safety,Wiley-Blackwell,Pharmoepidemiology and Drug Safety,
PharmWeb,PharmWeb,,
phg foundation (phgf),phg foundation (phgf),,
Phillipson and Strang,Phillipson and Strang,,
Philosophical transactions of the Royal Society of London,Royal Society Publishing,Philosophical Transactions of the Royal Society of London,
Phonak,Phonak,,
Phonak and The Ear Foundation,Phonak,,
Phonak iLEARN,Phonak iLEARN,,
Phonak iLearn and The Ear Foundation,Phonak iLEARN,,
Photomedicine and laser surgery,"Mary Ann Liebert, Inc",Photomedicine and Laser Surgery,
Physical Therapy,American Physical Therapy Association,Physical Therapy,
Physical Therapy Reviews,Maney Publishing,Physical Therapy Reviews,
Physicians Postgraduate Press,Physicians Postgraduate Press,,
Physiological genomics,American Physiological Society,Physiological Genomics,
Physiotherapy Canada,University of Toronto Press,Physiotherapy Canada,
Physiotherapy Research International,Wiley-Blackwell,Physiotherapy Research International,
Physiotherapy Theory and Practice,Informa Healthcare,Physiotherapy: Theory and Practice,
Phytotherapy Research,Wiley-Blackwell,Phytotherapy Research,
Picker Institute,Picker Institute Europe,,
Picker Institute Europe,Picker Institute Europe,,
Pitman Publishing Ltd.,Pitman Publishing Ltd,,
PLAN Institute,PLAN Institute,,
Planetree,Planetree,,
Planta Medica,Thieme,Planta Medica,
"Plastic and Reconstructive Surgery, Lippincott",Lippincott Williams and Wilkins,Plastic and Reconstructive Surgery,
Plastic Surgical Nursing,Lippincott Williams and Wilkins,Plastic Surgical Nursing,
Play England,Play England,,
PLoS (Public Library of Science),PLoS Public Library of Science,,
PLoS Genetics,PLoS Public Library of Science,PLoS Genetics,
PLoS Medicine,PLoS Public Library of Science,PLoS Medicine,
PLoS ONE,PLoS Public Library of Science,PLoS ONE,
PM & R,Elsevier,PM&R,
PMH Publications,PMH Publications,,
PMLD Network (The Foundation for People with Learning Disabilities),PMLD Network (The Foundation for People with Learning Disabilities),,
Podiatry Rheumatic Care Association,Podiatry Rheumatic Care Association,,
Policy Exchange,Policy Exchange,,
Policy Press,Policy Press,,
Policy Review TV,Policy Review TV,,
Polish Society for Emergency Medicine,Polish Society for Emergency Medicine,,
Pomona Project,Pomona Project,,
"Porphyria Service, Cardiff and Vale NHS Trust","Porphyria Service, Cardiff and Vale NHS Trust",,
Portsmouth City Council,Portsmouth City Council,,
Postgraduate Medical Education and Training Board (PMETB),Postgraduate Medical Education and Training Board (PMETB),,
Postgraduate Medical Journal,BMJ Group,Postgraduate Medical Journal,
Power Inquiry,Power Inquiry,,
Pró-fono : revista de atualização cient fica,,,1
Practical Diabetes International,Wiley-Blackwell,Practical Diabetes International,
Practitioner Health Programme,Practitioner Health Programme,,
Pre-Hospital Care UK,Pre-Hospital Care UK,,
The Press Association,Press Association,,1
PREVEND,PREVEND,,
Preventing Chronic Disease,Centers for Disease Control and Prevention,Preventing Chronic Disease,
Prevention Science,Springer,Prevention Science,
Preventive Medicine,Elsevier,Preventive Medicine,
Pricewaterhouse Coopers,Pricewaterhouse Coopers,,
Primary Care Cardiovascular Society,Primary Care Cardiovascular Society,,
Primary Care Commissioning,NHS Primary Care Commissioning,,
Primary Care Contracting (PCC),NHS Primary Care Contracting,,
Primary Care Diabetes,Primary Care Diabetes,,
Primary Care Foundation,Primary Care Foundation,,
Primary Care Respiratory Journal,Elsevier,Primary Care Respiratory Journal,
Primary Care Respiratory Society UK,Primary Care Respiratory Society UK,,
Primary Care Society for Gastroenterology,Primary Care Society for Gastroenterology,,
Primary Health Care Research and Development,Cambridge University Press,Primary Health Care Research and Development,
Primary Immunodeficiency Association (PiA),Primary Immunodeficiency Association (PiA),,
Prime Minister's Office,,,1
Prince of Wales's Foundation for Integrated Health,,,1
The Prince's Foundation for Integrated Health,,,1
Princess Royal Trust for Carers,Princess Royal Trust for Carers,,
The Princess Royal Trust for Carers,Princess Royal Trust for Carers,,
"The Princess Royal Trust for Carers, Crossroads Caring for Carers",Princess Royal Trust for Carers,,
Princeton-Brookings,Princeton-Brookings,,
PRINTO and PRES,Paediatric Rheumatology International Trials Organisation ,,
Priory Medical Journals,Priory Medical Journals,,
The prison journal,Sage Publications,Prison Journal,
Prison Reform Trust,Prison Reform Trust,,
Pro-Book Publishing,Pro-Book Publishing,,
The Proceedings of the American Thoracic Society,American Thoracic Society,Proceedings of the American Thoracic Society,
Proceedings of Healthcare Information Giving Services and Future ICTs,Proceedings of Healthcare Information Giving Services and Future ICTs,,
The Proceedings of the Nutrition Society,Cambridge University Press,Proceedings of the Nutrition Society,
Proceedings of the National Academy of Science,National Academy of Sciences,Proceedings of the National Academy of Sciences,
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,Proceedings of the National Academy of Sciences,
ProctoSite,ProctoSite,,
Professor Steve Goodacre,University of Sheffield,,
Progress Educational Trust,Progress Educational Trust,,
Progress in Cardiovascular Nursing,Wiley-Blackwell,Progress in Cardiovascular Nursing,
"Progress in Neurological Surgery, Karger",Karger,Progress in Neurological Surgery,
Prospect magazine,Prospect Publishing Limited,Prospect magazine,
The Prostate Cancer Charity,Prostate Cancer Charity,,
The Provider's Edge,Provider's Edge,,
Psicothema,Colegio Oficial de Psic logos del Principado de Asturias,Psicothema,
The Psoriasis and Psoriatic Arthritis Alliance (PAPAA),Psoriasis and Psoriatic Arthritis Alliance (PAPAA),,
Psoriasis Association,Psoriasis Association,,
Psychiatric Bulletin,Royal College of Psychiatrists,Psychiatric Bulletin,
The psychiatric clinics of North America,Elsevier,Psychiatric Clinics of North America,
Psychiatric Quarterly,Springer,Psychiatric Quarterly,
Psychiatric Services,American Psychiatric Publishing Inc,Psychiatric Services,
Psychological Bulletin,American Psychological Association,Psychological Bulletin,
Psychological Medicine,Cambridge University Press,Psychological Medicine,
Psychology Press,Psychology Press,,
"Psychology, Health and Medicine",Taylor and Francis Group,"Psychology, Health & Medicine",
Psychosomatic medicine,Lippincott Williams and Wilkins,Psychosomatic Medicine,
Psychosomatics,American Psychiatric Publishing Inc,Psychosomatics,
Public Health Agency of Canada,Public Health Agency of Canada,,
Public Health Commission,Public Health Commission,,
Public Health Commissioning Network,Public Health Commissioning Network,,
Public Health Genetics Foundation,Public Health Genetics Foundation,,
Public Health Genomics,Karger,Public Health Genomics,
The Public Health Genomics European Network (PHGEN),Public Health Genomics European Network (PHGEN),,
Public Health Medicine,Rila Publications Ltd,Public Health Medicine,
Public Health Medicine Environmental Group (PHMEG),Public Health Medicine Environmental Group (PHMEG),,
Public Health North East,Public Health North East,,
Public Health Nutrition,Cambridge University Press,Public Health Nutrition,
Public health reports,Association of Schools of Public Health,Public health reports,
Public Health Resource Unit,Public Health Resource Unit,,
Public Health Wales,Public Health Wales,,
Public Health: Journal of the Royal Institute of Public Health,Royal Institute of Public Health,Public Health: Journal of the Royal Institute of Public Health,
Public Money and Management,Taylor and Francis Group,Public Money & Management,
Public Net,Public Net,,
Pubmed,Pubmed,,1
Pulmonary Hypertension Association,Pulmonary Hypertension Association,,
Pulse,Pulse,,
Pulsus,Pulsus,,
QJM: Monthly Journal of the Association of Physicians,Oxford University Press,QJM: Monthly Journal of the Association of Physicians,
QMUL,"Queen Mary, University of London",,
QRESEARCH and The Information Centre for health and social care,QRESEARCH,,
Quadrant HealthCom Inc.,Quadrant HealthCom Inc,,
Qualitative Health Research,Sage Publications,Qualitative Health Research,
Quality and Safety in Health Care,BMJ Group,Quality and Safety in Health Care,
Quality Digest,QCI International,Quality Digest,
Quality in Health Care,BMJ Group,Quality and Safety in Health Care,
Quality in Primary Care,Radcliffe Publishing,Quality in Primary Care,
Quality Observatory of NHS South East Coast,Quality Observatory of NHS South East Coast,,
Quality:MK,NHS Milton Keynes,Quality:MK,
Queen Alexandra Hospital Portsmouth,Portsmouth Hospitals NHS Trust,,
Queen's Centre for Knowledge-Based Enterprises,Queen's Centre for Knowledge-Based Enterprises,,
The Queen's Nursing Institute,Queen's Nursing Institute,,
"Queen's School of Business, Canada","Queen's School of Business, Canada",,
Queensland Government Department of Communities,Queensland Government Department of Communities,,
Queensland Government Department of Employment and Industrial Relations,Queensland Government Department of Employment and Industrial Relations,,
Quintessence International,"Quintessence Publishing Co, Inc",,
R&RA,Relatives & Residents Association (R&RA),,
Rémy Pujol,,,1
Race Equality Foundation (REF),Race Equality Foundation (REF),,
Race for Health,Race for Health,,
Radar/Remploy,Radar,,
Radcliffe Publishing,Radcliffe Publishing,,
RadioGraphics,Radiological Society of North America (RSNA),RadioGraphics,
Radiography,Elsevier,Radiography,
Radiological Society of North America (RSNA),Radiological Society of North America (RSNA),,
"Radiotherapy and Oncology, Elsevier",Elsevier,Radiotherapy and Oncology,
RAND Corporation,RAND Corporation,,
RAND Europe,RAND Europe,,
RAND Europe; King's Fund; City University,RAND Europe,,
Rand Health,Rand Health,,
Raynaud's and Scleroderma Association (RSA),Raynaud's and Scleroderma Association (RSA),,
RCE Procurement Programme,RCE Procurement Programme,,
RCN (Rheumatology Forum),,,1
RCN Publishing,RCN Publishing,,
Real World Group,Real World Group,,
Records Management Journal,Emerald Insight,Records Management Journal,
Reflections,Reflections,,
Reform,Reform,,
Regional Drug And Therapeutics Centre (Newcastle),Regional Drug And Therapeutics Centre (Newcastle),,
Registered Nursing Home Association (RNHA),Registered Nursing Home Association (RNHA),,
ReliefWeb,ReliefWeb,,
Renal Association,Renal Association,,
Renal Association and RCP,Renal Association,,
Renal Association Glomerulonephritis Trials Group,Renal Association Glomerulonephritis Trials Group,,
Renal Clinicians Group,Renal Clinicians Group,,
Renal Information Exchange Group (RIXG),Renal Information Exchange Group (RIXG),,
Renal PatientView,Renal PatientView,,
Renal Physicians Association and American Society of Nephrology,Renal Physicians Association ,,
Renal Registry/Kidney Research UK,Renal Registry,,
"Renal Unit, Royal Infirmary, Edinburgh",Royal Infirmary of Edinburgh Renal Unit,,
Renewal.net,Renewal.net,,
Reproductive health matters,Elsevier,Reproductive Health Matters,
Research Autism,Research Autism,,
Research Centre for Transcultural Studies in Health,Research Centre for Transcultural Studies in Health,,
Research Clinical Endocrinology and Metobolism,Elsevier,Best Practice & Research: Clinical Endocrinology & Metabolism,
Research Council for Complementary Medicine,Research Council for Complementary Medicine,,
Research in Developmental Disabilities,Elsevier,Research in Developmental Disabilities,
research in practice,Research in Practice,,
Research in Practice for Adults,Research in Practice for Adults,,
Resolution Foundation,Resolution Foundation,,
"Resource: The Council for Museums, Archives and Libraries","Resource: The Council for Museums, Archives and Libraries",,
Respiratory Physiology & Neurobiology,Elsevier,Respiratory Physiology & Neurobiology,
Resuscitation Council (UK),Resuscitation Council (UK),,
"Resuscitation Council (UK), Heart Rhythm UK, JRCALC and the Ambulance Services Association",Resuscitation Council (UK),,
"Resuscitation, Elsevier",Elsevier,Resuscitation,
Rethink,Rethink,,
Retina,Lippincott Williams and Wilkins,Retina,
The Retinoblastoma Society,Retinoblastoma Society,,
Retrovirology,BioMed Central,Retrovirology,
Reumatismo (article in Italian),Italian Society of Rheumatology,Reumatismo,
Reuters,Reuters,,1
Rev Lat Am Enfermagem,SciELO,Revista Latino-americana de enfermagem,
Revista alergia Mexico,Tecamachalco Sociedad Mexicana De Alergia E Immunologia,Revista alergia Mexico,
Revista Brasileira de Otorrinolaringologia,SciELO,Revista Brasileira de Otorrinolaringologia,
Revista da Escola de Enfermagem da U S P,SciELO,Revista da Escola de Enfermagem da U S P,
Revista de Neurologia,Cesar Viguera,Revista de Neurologia,
Revista Latino-americana de enfermagem,SciELO,Revista Latino-americana de enfermagem,
Revue de Laryngologie Otologie Rhinologie,Revue de Laryngologie,Revue de Laryngologie Otologie Rhinologie,
"Rheuma21st Century, Ltd","Rheuma21st Century, Ltd",,
Rheumatology (Oxford),Oxford University Press,Rheumatology,
Rheumatology International,Springer,Rheumatology International,
"Rhinology, International Rhinologic Society",International Rhinologic Society,Rhinology,
Richard Steyn,Richard Steyn,,
Rio Tinto,Rio Tinto,,
RNIB (Royal National Institute for Blind People),Royal National Institute for Blind People (RNIB),,
RNID (Royal National Institute for Deaf People),Royal National Institute for Deaf People (RNID),,
"Robert Gordon University, Aberdeen",Robert Gordon University Aberdeen,,
The Robert Gordon University Aberdeen,Robert Gordon University Aberdeen,,
Robert Whitaker,Robert Whitaker,,
Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,,
ROCC,ROCC,,
Routledge,Routledge,,
Royal Australasian College of Surgeons (ASERNIP-S),Royal Australasian College of Surgeons (ASERNIP-S),,
Royal Australian and New Zealand College of Ophthalmologists,Royal Australian and New Zealand College of Ophthalmologists,,
Royal Australian College of General Practitioners,Royal Australian College of General Practitioners,,
Royal College of Anaesthetists (RCoA),Royal College of Anaesthetists (RCoA),,
Royal College of Anaesthetists (RCoA)/Royal College of Surgeons of England (RCS),Royal College of Anaesthetists (RCoA),,
Royal College of Anaesthetists and Association of Anaesthetists of Great Britain and Ireland,Royal College of Anaesthetists (RCoA),,
Royal College of General Practitioners (RCGP),Royal College of General Practitioners (RCGP),,
Royal College of Midwives,Royal College of Midwives,,
Royal College of Nursing (RCN),Royal College of Nursing (RCN),,
Royal College of Obstetricians and Gynaecologists,Royal College of Obstetricians and Gynaecologists,,
Royal College of Ophthalmologists,Royal College of Ophthalmologists,,
Royal College of Ophthalmologists and RNIB,Royal College of Ophthalmologists,,
Royal College of Paediatrics and Child Health (RCPCH),Royal College of Paediatrics and Child Health (RCPCH),,
Royal College of Pathologists,Royal College of Pathologists,,
Royal College of Pathologists and Royal College of Paediatrics and Child Health,Royal College of Pathologists,,
Royal College of Physicians (RCP),Royal College of Physicians (RCP),,
Royal College of Physicians and the British Society of Gastroenterology,Royal College of Physicians (RCP),,
Royal College of Physicians and the British Thyroid Association,Royal College of Physicians (RCP),,
"Royal College of Physicians of Edinburgh, UK Renal Association and Scottish Renal Association",Royal College of Physicians of Edinburgh,,
"Royal College of Physicians, British Thoracic Society, British Lung Foundation",Royal College of Physicians (RCP),,
"Royal College of Physicians, Clinical Effectiveness and Evaluation Unit",Royal College of Physicians (RCP),,
"Royal College of Physicians, The Vascular Society",Royal College of Physicians (RCP),,
Royal College of Physicians; Multiple Sclerosis Trust,Royal College of Physicians (RCP),,
Royal College of Psychiatrists,Royal College of Psychiatrists,,
Royal College of Radiologists,Royal College of Radiologists,,
Royal College of Speech and Language Therapists,Royal College of Speech and Language Therapists,,
Royal College of Surgeons of Edinburgh,Royal College of Surgeons of Edinburgh,,
Royal College of Surgeons of England,Royal College of Surgeons of England (RCS),,
Royal College of Surgeons of England Patient Liaison Group,Royal College of Surgeons of England Patient Liaison Group,,
Royal College of Surgeons of Glasgow,Royal College of Surgeons of Glasgow,,
"Royal College of Surgeons, Faculty of Dental Surgery","Faculty of Dental Surgery, Royal College of Surgeons",,
Royal Cornwall Hospital Renal Units,Royal Cornwall Hospital Renal Units,,
Royal Free Hospital,Royal Free Hampstead NHS Trust,,
"Royal Holloway, University of London and Imperial College London","Royal Holloway, University of London",,
The Royal Institute of Public Health,Royal Institute of Public Health,,
Royal London and Bart's Medical School,Barts and the London School of Medicine and Dentistry,,
Royal Manchester Children's Hospital,Royal Manchester Children's Hospital,,
Royal Pharmaceutical Society of Great Britain (RPSGB),Royal Pharmaceutical Society of Great Britain (RPSGB),,
Royal Society for Public Health,Royal Society for Public Health,,
Royal Society for the Prevention of Accidents,Royal Society for the Prevention of Accidents,,
Royal Society of Medicine,Royal Society of Medicine,,
The Royal Society of Medicine Press,Royal Society of Medicine Press,,
Royal Society of Medicine Press on behalf of the Medical Screening Society,Royal Society of Medicine Press,,
Royal Society of Medicine Services,Royal Society of Medicine,,
Royal Town Planning Institute (RTPI),Royal Town Planning Institute (RTPI),,
Rubinstein Taybi Syndrome UK Support Group (RTSUK),Rubinstein Taybi Syndrome UK Support Group (RTSUK),,
Russell Kightley Media,Russell Kightley Media,,
Rutgers University,Rutgers University,,
Ryan Tunnard Brown,,,1
S. Karger. AG,Karger,,
SADS UK,SADS UK,,
Safe Anaesthesia Liaison Group,Safe Anaesthesia Liaison Group,,
Safeguarding Children,Safeguarding Children,,
Saga Health Care,Saga Health Care,,
Sage Publications,Sage Publications,,
SAHARA J: Journal of social aspects of HIV/AIDS research,SAMA Health and Medical Publishing Group,SAHARA J (Journal of social aspects of HIV/AIDS research alliance),
Sainsbury Centre for Mental Health,Centre for Mental Health,,
Salford Royal NHS Foundation Trust,Salford Royal NHS Foundation Trust,,
Salomons Centre for Applied Social and Psychological Development,Salomons Centre for Applied Social and Psychological Development,,
SANDS: Stillbirth and Neonatal Death Charity,SANDS: Stillbirth and Neonatal Death Charity,,
Saratoga Ear and Sinus Surgery Center,Saratoga Ear and Sinus Surgery Center,,
Save the Children,Save the Children,,
Scandinavian Journal of Immunology,Wiley-Blackwell,Scandinavian Journal of Immunology,
Scandinavian Journal of Public Health,Sage Publications,Scandinavian Journal of Public Health,
Scandinavian journal of rheumatology,Informa Healthcare,Scandinavian journal of rheumatology,
Schattauer. Thrombosis and Haemostasis,,,1
Schizophrenia research,Elsevier,Schizophrenia Research,
Schmerz,Springer,Schmerz,
School of Health and Related Research (ScHARR),School of Health and Related Research (ScHARR),,
"School of Mathematical and Computing Sciences, University of Wellington","School of Mathematical and Computing Sciences, University of Wellington",,
"School of Pharmacy, University of London","School of Pharmacy, University of London",,
"The School of Pharmacy, University of London","School of Pharmacy, University of London",,
"School of Psychological Sciences, University of Manchester",,,
Science,American Association for the Advancement of Science,Science,
Science & sports,Elsevier,Science & sports,
Science Direct,Science Direct,,1
Science Printers and Publishers,Science Printers and Publishers,Journal of Reproductive Medicine,
Scientific Advisory Committee on Nutrition (sacn),Scientific Advisory Committee on Nutrition (sacn),,
Scientific Institute of Public Health (IPH),Scientific Institute of Public Health (IPH),,
Scientific World,Nepal Journals Online,Scientific World,
The Scleroderma Society,Scleroderma Society,,
Scoliosis Association (UK),Scoliosis Association (UK),,
SCOPE,SCOPE,,
Scottish Association of Chaplains in Healthcare,Scottish Association of Chaplains in Healthcare,,
Scottish Centre for Regeneration,Scottish Centre for Regeneration,,
Scottish Community Development Centre,Scottish Community Development Centre,,
Scottish Consumer Council,Scottish Consumer Council,,
Scottish Executive,Scottish Executive,,
The Scottish Executive Health Department,,,1
Scottish Executive Social Research,Scottish Executive,,
Scottish Government,Scottish Executive,,
The Scottish Government,Scottish Executive,,
Scottish Government Social Research,Scottish Executive,,
Scottish Human Services (SHS) Trust,Scottish Human Services (SHS) Trust,,
Scottish Intercollegiate Guidelines Network (SIGN),Scottish Intercollegiate Guidelines Network (SIGN),,
Scottish Motor Neurone Disease Association,Scottish Motor Neurone Disease Association,,
The Scottish Office,,,1
The Scottish Parliament,Scottish Parliament,,
Scottish Partnership Agency for Palliative and Cancer Care & National Council for Hospice and Specialist Palliative Care Services,Scottish Partnership Agency for Palliative and Cancer Care,,
Scottish Public Health Observatory (ScotPHO),Scottish Public Health Observatory (ScotPHO),,
Scottish Renal Association,Scottish Renal Association,,
Scottish Stroke Nurses Forum,Scottish Stroke Nurses Forum,,
"Secretariat of Communications and Transportation of Mexico, Transport Canada, US Department of Transportation",Secretariat of Communications and Transportation of Mexico,,
"Secretary's Advisory Committee on Genetics, Health, and Society","Secretary's Advisory Committee on Genetics, Health, and Society",,
Seizure,Elsevier,Seizure,
Self Care Connect,Self Care Connect,,
Seminars in Arthritis and Rheumatism,Elsevier,Seminars in Arthritis and Rheumatism,
"Seminars in Hearing, Thieme",Thieme,Seminars in Hearing,
Seminars in oncology nursing,Elsevier,Seminars in oncology nursing,
Sense About Science,Sense About Science,,
Serious Hazards of Transfusion (SHOT),Serious Hazards of Transfusion (SHOT),,
Service Design Network,Service Design Network,,
Service User Research Group England (SURGE),Service User Research Group England (SURGE),,
Sexual Dysfunction Association,Sexual Dysfunction Association,,
Sexual Health,Commonwealth Scientific and Industrial Research Organisation Publishing,Sexual Health,
Sexually transmitted diseases,Lippincott Williams and Wilkins,Sexually Transmitted Diseases,
Sexually Transmitted Infections,BMJ Group,Sexually Transmitted Infections,
Shaare Zedek Medical Center,Shaare Zedek Medical Center,,
SHARP,SHARP,,
Sheffield First,Sheffield First,,
Sheffield Hallam University and Coventry University,Sheffield Hallam University and Coventry University,,
Sheila Pantry Associates,Sheila Pantry Associates,,
"Shore Health System, University of Maryland Health System","Shore Health System, University of Maryland Health System",,
ShoulderDoc.co.uk,ShoulderDoc.co.uk,,
Sickle Cell Information Center (US),Sickle Cell Information Center,,
Sickle Cell Society,Sickle Cell Society,,
Sigma Research,Sigma Research,,
Simon Fraser University,Simon Fraser University,,
Simpler,Simpler,,
Skills for Care,Skills for Care,,
Skills for Health,Skills for Health,,
Skin Care Campaign & Psoriasis Association,Skin Care Campaign (SCC),,
Skin Care Campaign (SCC),Skin Care Campaign (SCC),,
Skin Therapy Letter,Skin Therapy Letter,,
Skincareguide.com,Skincareguide.com,,
Slack,Slack,,
Sleep,"Associated Professional Sleep Societies, LLC",Sleep,
"Sleep Medicine Reviews, Elsevier",Elsevier,Sleep Medicine Reviews,
Smithsonian Associates,Smithsonian Associates,,
Social Care Institute for Excellence (SCIE),Social Care Institute for Excellence (SCIE),,
Social Enterprise Coalition,Social Enterprise Coalition,,
Social Inclusion Partnership South East (SIPSE),Social Inclusion Partnership South East (SIPSE),,
Social Market Foundation,Social Market Foundation,,
Social Policy Research Unit (University of York),"Social Policy Research Unit, University of York",,
Social Psychiatry and Psychiatric Epidemiology,Springer,Social Psychiatry and Psychiatric Epidemiology,
Social Research & Regeneration Unit,Social Research and Regeneration Unit,,
Social Science and Medicine,Elsevier,Social Science & Medicine,
Social Science Research Unit,"Institute of Education, University of London",Social Science Research Unit,
Social Services Inspectorate,Social Services Inspectorate,,
Social Services Research Group (SSRG),Social Services Research Group (SSRG),,
Social Work in Health Care,Haworth Press Inc,Social Work in Health Care,
Socialist Health Association,Socialist Health Association,,
The Society for Back Pain Research,Society for Back Pain Research,,
Society for Endocrinology,Society for Endocrinology,,
Society for Neuroscience,Society for Neuroscience,,
,Society for Pediatric Pathology,,
Society for Pediatric Pathology and the Paediatric Pathology Society,Society for Pediatric Pathology,,
Society for Research in Rehabilitation,Society for Research in Rehabilitation,,
Society for Storytelling,Society for Storytelling,,
Society for Surgery of the Alimentary Tract (SSAT),Society for Surgery of the Alimentary Tract (SSAT),,
Society for the advancement of anaesthesia in dentistry,Society for the advancement of anaesthesia in dentistry,,
Society for Vascular Nurses,Society for Vascular Nurses,,
Society for Vascular Surgery,Society for Vascular Surgery,,
Society for Vascular Technology,Society for Vascular Technology,,
Society of American Gastrointestinal and Endoscopic Surgeons (SAGES),Society of American Gastrointestinal and Endoscopic Surgeons (SAGES),,
Society of Biological Psychiatry,Society of Biological Psychiatry,,
Society of Cardiothoracic Surgeons of Great Britain and Ireland,Society of Cardiothoracic Surgeons of Great Britain and Ireland,,
The Society of Cardiothoracic Surgery in Great Britain & Ireland,Society of Cardiothoracic Surgery in Great Britain & Ireland,,
Society of Chiropodists and Podiatrists,Society of Chiropodists and Podiatrists,,
The Society of Chiropodists and Podiatrists,Society of Chiropodists and Podiatrists,,
Society of Gastroenterology Nurses and Associates,Society of Gastroenterology Nurses and Associates,,
The Society of Homeopaths,Society of Homeopaths,,
Society of Nuclear Medicine,Society of Nuclear Medicine,,
Society of Obstetricians and Gynaecologists of Canada,Society of Obstetricians and Gynaecologists of Canada,,
The Society of Orthopaedic Medicine,Society of Orthopaedic Medicine,,
Society of Surgical Oncology,Society of Surgical Oncology,,
The Society of Surgical Oncology,Society of Surgical Oncology,,
Society of Thoracic Surgeons (USA),Society of Thoracic Surgeons (USA),,
Sociology of Health and Illness,Sociology of Health and Illness,,
Sodexho,Sodexho,,
Solace Foundation Imprint,Solace Foundation Imprint,,
Somerset PCT,Somerset PCT,,
SourceUK,SourceUK,,
South Asian Development Partnership,South Asian Development Partnership,,
South Asian Health Foundation,South Asian Health Foundation,,
South Australia Department of the Premier and the Cabinet,South Australia Department of the Premier and the Cabinet,,
South Bank University,South Bank University,,
South Central Healthcare Librarians,South Central Healthcare Librarians,,
South Central Specialised Commissioning Group,South Central Specialised Commissioning Group,,
